Bytes,FAV,Entropy,Chi2
0,0,0.00,0.00
64,100,0.00,1.43
128,100,0.71,45.71
192,100,17.86,56.43
256,100,55.71,62.86
320,100,60.00,67.86
384,100,68.57,72.14
448,100,98.57,75.00
512,100,100.00,100.00
